double A	AA
double B	BB
double C	CC
double D	DD
double E	EE
double F	FF
double G	GG
double H	HH
double I	II
double J	JJ
double K	KK
double L	LL
double M	MM
double N	NN
double O	OO
double P	PP
double Q	QQ
double R	RR
double S	SS
double T	TT
double U	UU
double V	VV
double W	WW
double X	XX
double Y	YY
double Z	ZZ
double a	AA
double b	BB
double c	CC
double d	DD
double e	EE
double f	FF
double g	GG
double h	HH
double i	II
double j	JJ
double k	KK
double l	LL
double m	MM
double n	NN
double o	OO
double p	PP
double q	QQ
double r	RR
double s	SS
double t	TT
double u	UU
double v	VV
double w	WW
double x	XX
double y	YY
double z	ZZ
triple A	AAA
triple B	BBB
triple C	CCC
triple D	DDD
triple E	EEE
triple F	FFF
triple G	GGG
triple H	HHH
triple I	III
triple J	JJJ
triple K	KKK
triple L	LLL
triple M	MMM
triple N	NNN
triple O	OOO
triple P	PPP
triple Q	QQQ
triple R	RRR
triple S	SSS
triple T	TTT
triple U	UUU
triple V	VVV
triple W	WWW
triple X	XXX
triple Y	YYY
triple Z	ZZZ
triple a	AAA
triple b	BBB
triple c	CCC
triple d	DDD
triple e	EEE
triple f	FFF
triple g	GGG
triple h	HHH
triple i	III
triple j	JJJ
triple k	KKK
triple l	LLL
triple m	MMM
triple n	NNN
triple o	OOO
triple p	PPP
triple q	QQQ
triple r	RRR
triple s	SSS
triple t	TTT
triple u	UUU
triple v	VVV
triple w	WWW
triple x	XXX
triple y	YYY
triple z	ZZZ
