डबल ए	AA
डबल बी	BB
डबल सी	CC
डबल डी	DD
डबल ई	EE
डबल एफ	FF
डबल जी	GG
डबल एच	HH
डबल आई	II
डबल जे	JJ
डबल के	KK
डबल एल	LL
डबल एम	MM
डबल एन	NN
डबल ओ	OO
डबल पी	PP
डबल क्यू	QQ
डबल आर	RR
डबल एस	SS
डबल टी	TT
डबल यू	UU
डबल वी	VV
डबल डब्ल्यू	WW
डबल एक्स	XX
डबल वाई	YY
डबल ज़ेड	ZZ
ट्रिपल ए	AAA
ट्रिपल बी	BBB
ट्रिपल सी	CCC
ट्रिपल डी	DDD
ट्रिपल ई	EEE
ट्रिपल एफ	FFF
ट्रिपल जी	GGG
ट्रिपल एच	HHH
ट्रिपल आई	III
ट्रिपल जे	JJJ
ट्रिपल के	KKK
ट्रिपल एल	LLL
ट्रिपल एम	MMM
ट्रिपल एन	NNN
ट्रिपल ओ	OOO
ट्रिपल पी	PPP
ट्रिपल क्यू	QQQ
ट्रिपल आर	RRR
ट्रिपल एस	SSS
ट्रिपल टी	TTT
ट्रिपल यू	UUU
ट्रिपल वी	VVV
ट्रिपल डब्ल्यू	WWW
ट्रिपल एक्स	XXX
ट्रिपल वाई	YYY
ट्रिपल ज़ेड	ZZZ
